formula,nombre,tipo_compuesto,descripcion,geometria_molecular,reacciones_tipicas,n_elementos,total_atomos,masa_molar,n_H,n_C,n_N,n_O,n_S,n_P,n_halogen,n_metal,n_nonmetal,hc_ratio,ho_ratio,co_ratio,no_ratio,tiene_OH,tiene_COOH,tiene_CO3,tiene_SO4,tiene_NO3,tiene_NO2,tiene_PO4,tiene_NH,es_diatomica,es_homoatomica,es_acido,es_base,es_sal,es_oxido,es_organica,tiene_carbono,tiene_nitrogeno,tiene_oxigeno,tiene_fosforo,tiene_azufre,tiene_metal,n_tipos_metal,oxido_Fe_tipo,es_Fe_oxido_III,es_Fe_oxido_II_III,es_nitrato,es_nitrito,es_fluoruro,es_cloruro,es_bromuro,es_yoduro,ratio_O_total,ratio_metal_total,es_oxoacido,es_anhidrido,n_enlaces_estimados,tipo_enlace,es_geometria_lineal,n_atomos_3d,n_bonds_3d,spread_3d,max_dist_3d,es_lineal_3d,tiene_coords_3d,bond_ratio_3d,centroide_x,centroide_y,centroide_z
NH₃,Amoníaco,Compuesto inorgánico,Gas de olor fuerte. Base nitrogenada.,Variable,,2,4,17.031,3,0,1,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,3,covalente_polar_H,0,4,3,0.69,1.628,0,1,0.75,0.0003,0.0,-0.1728
CH₄,Metano,Alcano,Gas natural. El alcano más simple.,Tetraédrico,,2,5,16.043,4,1,0,0,0,0,0,0,5,4.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,4,covalente_polar,0,5,4,0.9556,1.7847,0,1,0.8,0.0,0.0,0.0
NaCl,Cloruro de sodio,Haluro,Sal de mesa. Compuesto iónico.,Iónico,,2,2,58.443,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.0,0.5,0,0,1,iónico,0,2,1,1.3924,2.36,0,1,0.5,1.18,0.0,0.0
H₂O₂,Peróxido de hidrógeno,Óxido,Agua oxigenada. Antiséptico.,Lineal / Angular,,2,4,34.014,2,0,0,2,0,0,0,0,4,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0,0,1,3,covalente_polar_H,1,4,3,0.0,0.0,0,0,0.75,0.0,0.0,0.0
H₂SO₄,Ácido sulfúrico,Ácido,Ácido fuerte más producido industrialmente.,Trigonal plana / Angular,,3,7,98.072,2,0,0,4,1,0,0,0,7,0.0,0.5,0.0,0.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5714,0.0,1,0,6,covalente_polar_H,0,7,6,2.4752,3.8,0,1,0.8571,0.0,0.2514,0.0
HCl,Ácido clorhídrico,Ácido,Ácido fuerte. Componente del jugo gástrico.,Trigonal plana / Angular,,2,2,36.461,1,0,0,0,0,0,1,0,2,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,covalente_polar,0,2,1,0.4032,1.27,0,1,0.5,0.635,0.0,0.0
HNO₃,Ácido nítrico,Ácido,Ácido oxidante fuerte. Fabricación de explosivos.,Trigonal plana / Angular,,3,5,63.012,1,0,1,3,0,0,0,0,5,0.0,0.333,0.0,0.3333,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.0,1,0,4,covalente_polar_H,0,5,4,1.8301,3.3704,0,1,0.8,-0.102,0.176,0.0
H₃PO₄,Ácido fosfórico,Ácido,Ácido triprotónico. Fertilizantes y refrescos.,Trigonal plana / Angular,,3,8,97.994,3,0,0,4,0,1,0,0,8,0.0,0.75,0.0,0.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0,1,0,7,covalente_polar_H,0,8,7,0.0,0.0,0,0,0.875,0.0,0.0,0.0
CH₃COOH,Ácido acético,Ácido,Ácido del vinagre. Ácido débil.,Trigonal plana / Angular,,3,8,60.052,4,2,0,2,0,0,0,0,8,2.0,2.0,1.0,0.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.0,1,0,7,covalente_polar_H,0,8,7,2.5314,3.9853,0,1,0.875,0.9688,-0.1237,0.0
HF,Ácido fluorhídrico,Ácido,Ácido débil pero muy corrosivo. Graba el vidrio.,Trigonal plana / Angular,,2,2,20.006,1,0,0,0,0,0,1,0,2,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,covalente_polar_H,0,2,1,0.2102,0.917,0,1,0.5,0.4585,0.0,0.0
HBr,Ácido bromhídrico,Ácido,Ácido fuerte. Muy soluble en agua.,Trigonal plana / Angular,,2,2,80.912,1,0,0,0,0,0,1,0,2,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,covalente_polar,0,2,1,0.0,0.0,0,0,0.5,0.0,0.0,0.0
NaOH,Hidróxido de sodio,Base/Hidróxido,Sosa cáustica. Base fuerte.,Octaédrico / Angular,,3,3,39.997,1,0,0,1,0,0,0,1,2,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.3333,0.3333,0,0,2,iónico,0,3,2,1.4234,2.86,0,1,0.6667,1.6033,0.0,0.0
KOH,Hidróxido de potasio,Base/Hidróxido,Potasa cáustica. Base fuerte.,Octaédrico / Angular,,3,3,56.105,1,0,0,1,0,0,0,1,2,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.3333,0.3333,0,0,2,iónico,0,3,2,0.0,0.0,0,0,0.6667,0.0,0.0,0.0
Ca(OH)₂,Hidróxido de calcio,Base/Hidróxido,Cal apagada. Base poco soluble.,Octaédrico / Angular,,3,5,74.092,2,0,0,2,0,0,0,1,4,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.4,0.2,0,0,4,iónico,0,5,4,1.3606,2.9921,0,1,0.8,1.98,0.0,0.0
Mg(OH)₂,Hidróxido de magnesio,Base/Hidróxido,Leche de magnesia. Antiácido.,Octaédrico / Angular,,3,5,58.319,2,0,0,2,0,0,0,1,4,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.4,0.2,0,0,4,iónico,0,5,4,0.0,0.0,0,0,0.8,0.0,0.0,0.0
Al(OH)₃,Hidróxido de aluminio,Base/Hidróxido,Anfótero. Antiácido (Maalox).,Octaédrico / Angular,,3,7,78.003,3,0,0,3,0,0,0,1,6,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.4286,0.1429,0,0,6,iónico,0,7,6,0.0,0.0,0,0,0.8571,0.0,0.0,0.0
Fe(OH)₃,Hidróxido de hierro III,Base/Hidróxido,Precipitado rojo-marrón. Coagulante.,Octaédrico / Angular,,3,7,106.866,3,0,0,3,0,0,0,1,6,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.4286,0.1429,0,0,6,iónico,0,7,6,0.0,0.0,0,0,0.8571,0.0,0.0,0.0
NH₄OH,Hidróxido de amonio,Base/Hidróxido,Base débil. Amoníaco en agua.,Octaédrico / Angular,,3,7,35.046,5,0,1,1,0,0,0,0,7,0.0,5.0,0.0,1.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1429,0.0,0,0,6,covalente_polar_H,0,7,6,0.0,0.0,0,0,0.8571,0.0,0.0,0.0
CO,Monóxido de carbono,Óxido,Gas tóxico. Se une a hemoglobina.,Lineal / Angular,,2,2,28.01,0,1,0,1,0,0,0,0,2,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0,0,1,1,covalente_polar,1,2,1,0.0,0.0,0,0,0.5,0.0,0.0,0.0
SO₂,Dióxido de azufre,Óxido,Gas de lluvia ácida. Conservante E220.,Lineal / Angular,,2,3,64.058,0,0,0,2,1,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6667,0.0,0,1,2,covalente_polar,1,3,2,1.389,2.86,0,1,0.6667,0.0,0.2267,0.0
SO₃,Trióxido de azufre,Óxido,Anhídrido sulfúrico. Reacciona con agua.,Lineal / Angular,,2,4,80.057,0,0,0,3,1,0,0,0,4,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.75,0.0,0,1,3,covalente_polar,1,4,3,0.0,0.0,0,0,0.75,0.0,0.0,0.0
NO,Óxido nítrico,Óxido,Mensajero biológico. Vasodilatador.,Lineal / Angular,,2,2,30.006,0,0,1,1,0,0,0,0,2,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0,0,1,1,covalente_polar,1,2,1,0.0,0.0,0,0,0.5,0.0,0.0,0.0
NO₂,Dióxido de nitrógeno,Óxido,Gas marrón tóxico. Smog fotoquímico.,Lineal / Angular,,2,3,46.005,0,0,1,2,0,0,0,0,3,0.0,0.0,0.0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6667,0.0,0,1,2,covalente_polar,1,3,2,0.8281,2.14,0,1,0.6667,0.0,0.0,0.0
N₂O,Óxido nitroso,Óxido,Gas de la risa. Anestésico dental.,Lineal / Angular,,2,3,44.013,0,0,2,1,0,0,0,0,3,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0.0,0,1,2,covalente_polar,1,3,2,0.0,0.0,0,0,0.6667,0.0,0.0,0.0
P₂O₅,Pentóxido de fósforo,Óxido,Desecante más potente conocido.,Lineal / Angular,,2,7,141.943,0,0,0,5,0,2,0,0,7,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7143,0.0,0,1,6,covalente_polar,1,7,6,0.0,0.0,0,0,0.8571,0.0,0.0,0.0
Na₂O,Óxido de sodio,Óxido,Óxido básico. Reacciona con agua.,Lineal / Angular,,2,3,61.979,0,0,0,1,0,0,0,2,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.3333,0.6667,0,0,2,iónico,1,3,2,0.0,0.0,0,0,0.6667,0.0,0.0,0.0
CaO,Óxido de calcio,Óxido,Cal viva. Construcción y cemento.,Lineal / Angular,,2,2,56.077,0,0,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,1,iónico,1,2,1,0.0,0.0,0,0,0.5,0.0,0.0,0.0
Fe₂O₃,Óxido de hierro III,Óxido,Hematita. Pigmento rojo. Herrumbre.,Lineal / Angular,,2,5,159.687,0,0,0,3,0,0,0,2,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,3,1,0,0,0,0,0,0,0,0.6,0.4,0,0,4,iónico,1,5,4,0.0,0.0,0,0,0.8,0.0,0.0,0.0
Fe₃O₄,Óxido de hierro II-III,Óxido,Magnetita. Mineral magnético.,Lineal / Angular,,2,7,231.531,0,0,0,4,0,0,0,3,4,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,23,0,1,0,0,0,0,0,0,0.5714,0.4286,0,0,6,iónico,1,7,6,0.0,0.0,0,0,0.8571,0.0,0.0,0.0
Al₂O₃,Óxido de aluminio,Óxido,Alúmina. Corindón. Muy duro.,Lineal / Angular,,2,5,101.961,0,0,0,3,0,0,0,2,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.6,0.4,0,0,4,iónico,1,5,4,0.0,0.0,0,0,0.8,0.0,0.0,0.0
MgO,Óxido de magnesio,Óxido,Periclasa. Antácido. T fusión alta.,Lineal / Angular,,2,2,40.304,0,0,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,1,iónico,1,2,1,0.0,0.0,0,0,0.5,0.0,0.0,0.0
TiO₂,Dióxido de titanio,Óxido,Pigmento blanco más usado. Protector solar.,Lineal / Angular,,2,3,79.865,0,0,0,2,0,0,0,1,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.6667,0.3333,0,0,2,iónico,1,3,2,0.0,0.0,0,0,0.6667,0.0,0.0,0.0
SiO₂,Dióxido de silicio,Óxido,Sílice. Cuarzo. Vidrio. Fibra óptica.,Lineal / Angular,,2,3,60.084,0,0,0,2,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6667,0.0,0,1,2,covalente_polar,1,3,2,0.0,0.0,0,0,0.6667,0.0,0.0,0.0
Na₂CO₃,Carbonato de sodio,Carbonato,Soda Solvay. Vidrio y jabón.,Trigonal plana (CO₃),,3,6,105.988,0,1,0,3,0,0,0,2,4,0.0,0.0,0.333,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.5,0.3333,0,0,5,iónico,0,6,5,0.0,0.0,0,0,0.8333,0.0,0.0,0.0
CaCO₃,Carbonato de calcio,Carbonato,Caliza. Mármol. Cemento.,Trigonal plana (CO₃),,3,5,100.086,0,1,0,3,0,0,0,1,4,0.0,0.0,0.333,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.6,0.2,0,0,4,iónico,0,5,4,0.0,0.0,0,0,0.8,0.0,0.0,0.0
K₂CO₃,Carbonato de potasio,Carbonato,Potasa. Jabones y vidrio.,Trigonal plana (CO₃),,3,6,138.204,0,1,0,3,0,0,0,2,4,0.0,0.0,0.333,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.5,0.3333,0,0,5,iónico,0,6,5,0.0,0.0,0,0,0.8333,0.0,0.0,0.0
MgCO₃,Carbonato de magnesio,Carbonato,Magnesita. Antiácido ligero.,Trigonal plana (CO₃),,3,5,84.313,0,1,0,3,0,0,0,1,4,0.0,0.0,0.333,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.6,0.2,0,0,4,iónico,0,5,4,0.0,0.0,0,0,0.8,0.0,0.0,0.0
NaHCO₃,Bicarbonato de sodio,Carbonato,Bicarbonato. Antiácido. Levadura.,Trigonal plana (CO₃),,4,6,84.006,1,1,0,3,0,0,0,1,5,1.0,0.333,0.333,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.5,0.1667,0,0,5,iónico,0,6,5,0.0,0.0,0,0,0.8333,0.0,0.0,0.0
Na₂SO₄,Sulfato de sodio,Sulfato,Sal de Glauber. Detergentes.,Tetraédrico (SO₄),,3,7,142.036,0,0,0,4,1,0,0,2,5,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.5714,0.2857,0,0,6,iónico,0,7,6,0.0,0.0,0,0,0.8571,0.0,0.0,0.0
CaSO₄,Sulfato de calcio,Sulfato,Yeso. Anhidrita. Construcción.,Tetraédrico (SO₄),,3,6,136.134,0,0,0,4,1,0,0,1,5,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.6667,0.1667,0,0,5,iónico,0,6,5,0.0,0.0,0,0,0.8333,0.0,0.0,0.0
MgSO₄,Sulfato de magnesio,Sulfato,Sal de Epsom. Uso terapéutico.,Tetraédrico (SO₄),,3,6,120.361,0,0,0,4,1,0,0,1,5,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.6667,0.1667,0,0,5,iónico,0,6,5,0.0,0.0,0,0,0.8333,0.0,0.0,0.0
CuSO₄,Sulfato de cobre II,Sulfato,Vitriolo azul. Fungicida. Reactivo.,Tetraédrico (SO₄),,3,6,159.602,0,0,0,4,1,0,0,1,5,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.6667,0.1667,0,0,5,iónico,0,6,5,0.0,0.0,0,0,0.8333,0.0,0.0,0.0
K₂SO₄,Sulfato de potasio,Sulfato,Fertilizante K sin cloruro.,Tetraédrico (SO₄),,3,7,174.252,0,0,0,4,1,0,0,2,5,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.5714,0.2857,0,0,6,iónico,0,7,6,0.0,0.0,0,0,0.8571,0.0,0.0,0.0
ZnSO₄,Sulfato de zinc,Sulfato,Caparrosa blanca. Galvanoplastia.,Tetraédrico (SO₄),,3,6,161.436,0,0,0,4,1,0,0,1,5,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.6667,0.1667,0,0,5,iónico,0,6,5,0.0,0.0,0,0,0.8333,0.0,0.0,0.0
KCl,Cloruro de potasio,Haluro,Sustituto de la sal. Fertilizante.,Iónico,,2,2,74.551,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.0,0.5,0,0,1,iónico,0,2,1,0.0,0.0,0,0,0.5,0.0,0.0,0.0
CaCl₂,Cloruro de calcio,Haluro,Fundente. Secante industrial.,Iónico,,2,3,110.984,0,0,0,0,0,0,2,1,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.0,0.3333,0,0,2,iónico,0,3,2,0.0,0.0,0,0,0.6667,0.0,0.0,0.0
MgCl₂,Cloruro de magnesio,Haluro,Presente en agua de mar.,Iónico,,2,3,95.211,0,0,0,0,0,0,2,1,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.0,0.3333,0,0,2,iónico,0,3,2,0.0,0.0,0,0,0.6667,0.0,0.0,0.0
FeCl₃,Cloruro de hierro III,Haluro,Grabado de PCB. Oxidante fuerte.,Iónico,,2,4,162.204,0,0,0,0,0,0,3,1,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.0,0.25,0,0,3,iónico,0,4,3,0.0,0.0,0,0,0.75,0.0,0.0,0.0
AlCl₃,Cloruro de aluminio,Haluro,Catalizador Friedel-Crafts.,Iónico,,2,4,133.341,0,0,0,0,0,0,3,1,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.0,0.25,0,0,3,iónico,0,4,3,0.0,0.0,0,0,0.75,0.0,0.0,0.0
NaF,Fluoruro de sodio,Haluro,Pasta dental. Previene caries.,Iónico,,2,2,41.988,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.0,0.5,0,0,1,iónico,0,2,1,0.0,0.0,0,0,0.5,0.0,0.0,0.0
NaBr,Bromuro de sodio,Haluro,Sedante histórico. Fotografía.,Iónico,,2,2,102.894,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.0,0.5,0,0,1,iónico,0,2,1,0.0,0.0,0,0,0.5,0.0,0.0,0.0
